data_hora,classe,confianca,distancia_m,profundidade_valida,fps,latencia_inferencia_ms
2026-08-02T14:44:25.527,cardboard,0.964034,0.4014,True,0.00,1492.60
2026-08-02T14:44:25.845,cardboard,0.966101,0.2981,True,0.64,137.42
2026-08-02T14:44:26.156,cardboard,0.964022,0.2930,True,0.64,118.20
2026-08-02T14:44:26.489,cardboard,0.971139,0.2941,True,0.64,122.64
2026-08-02T14:44:26.789,cardboard,0.970766,0.2945,True,8.79,118.56
2026-08-02T14:44:27.103,cardboard,0.972902,0.2945,True,8.79,120.34
2026-08-02T14:44:27.412,cardboard,0.974534,0.3005,True,8.79,116.16
2026-08-02T14:44:27.722,cardboard,0.977463,0.3046,True,8.79,115.00
2026-08-02T14:44:28.026,cardboard,0.931889,0.3064,True,9.37,115.87
2026-08-02T14:44:28.318,cardboard,0.627565,0.3080,True,9.37,117.53
2026-08-02T14:44:28.624,glass,0.460737,0.3283,True,9.37,118.56
2026-08-02T14:44:28.922,glass,0.588783,0.6477,True,10.82,119.59
2026-08-02T14:44:29.224,glass,0.683974,0.6548,True,10.82,116.84
2026-08-02T14:44:29.518,glass,0.754913,0.6578,True,10.82,113.41
2026-08-02T14:44:29.834,glass,0.804554,0.6646,True,10.82,114.34
2026-08-02T14:44:30.138,glass,0.856945,0.6615,True,9.15,113.45
2026-08-02T14:44:30.438,glass,0.886678,0.6591,True,9.15,112.95
2026-08-02T14:44:30.747,glass,0.903261,0.6597,True,9.15,121.28
2026-08-02T14:44:31.094,glass,0.920813,0.6603,True,10.31,118.98
2026-08-02T14:44:31.398,glass,0.915995,0.6646,True,10.31,116.87
2026-08-02T14:44:31.711,glass,0.930657,0.6664,True,10.31,119.89
2026-08-02T14:44:32.014,glass,0.943820,0.6683,True,10.31,117.16
2026-08-02T14:44:32.314,glass,0.953618,0.6683,True,8.98,112.55
2026-08-02T14:44:32.621,glass,0.913206,0.6702,True,8.98,115.64
